Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
322	 300.00 mV	 0 V	 3.9000 V	 4.14590 mA	 414.5900000 uA/um
323	 300.00 mV	 0 V	 3.9500 V	 4.22220 mA	 422.2200000 uA/um
324	 300.00 mV	 0 V	 4.0000 V	 4.30010 mA	 430.0100000 uA/um
325	 400.00 mV	 0 V	 0 V	 5.42740 uA	 542.7400000 nA/um
326	 400.00 mV	 0 V	 50.0 mV	 4.83640 mA	 483.6400000 uA/um
327	 400.00 mV	 0 V	 100.0 mV	 8.28740 mA	 828.7400000 uA/um
328	 400.00 mV	 0 V	 150.0 mV	 10.34710 mA	 1.034710000 mA/um
329	 400.00 mV	 0 V	 200.0 mV	 11.39280 mA	 1.139280000 mA/um
330	 400.00 mV	 0 V	 250.0 mV	 11.8430 mA	 1.184300000 mA/um
331	 400.00 mV	 0 V	 300.0 mV	 12.2270 mA	 1.222700000 mA/um
332	 400.00 mV	 0 V	 350.0 mV	 12.5230 mA	 1.252300000 mA/um
333	 400.00 mV	 0 V	 400.0 mV	 12.7480 mA	 1.274800000 mA/um
334	 400.00 mV	 0 V	 450.0 mV	 12.9670 mA	 1.296700000 mA/um
335	 400.00 mV	 0 V	 500.0 mV	 13.1690 mA	 1.316900000 mA/um
336	 400.00 mV	 0 V	 550.0 mV	 13.3510 mA	 1.335100000 mA/um
337	 400.00 mV	 0 V	 600.0 mV	 13.5190 mA	 1.351900000 mA/um
338	 400.00 mV	 0 V	 650.0 mV	 13.6670 mA	 1.366700000 mA/um
339	 400.00 mV	 0 V	 700.0 mV	 13.8230 mA	 1.382300000 mA/um
340	 400.00 mV	 0 V	 750.0 mV	 13.9280 mA	 1.392800000 mA/um
341	 400.00 mV	 0 V	 800.0 mV	 14.0760 mA	 1.407600000 mA/um
342	 400.00 mV	 0 V	 850.0 mV	 14.2220 mA	 1.422200000 mA/um
343	 400.00 mV	 0 V	 900.0 mV	 14.3580 mA	 1.435800000 mA/um
344	 400.00 mV	 0 V	 950.0 mV	 14.4840 mA	 1.448400000 mA/um
345	 400.00 mV	 0 V	 1.0000 V	 14.5830 mA	 1.458300000 mA/um
346	 400.00 mV	 0 V	 1.0500 V	 14.7050 mA	 1.470500000 mA/um
347	 400.00 mV	 0 V	 1.1000 V	 14.8160 mA	 1.481600000 mA/um
348	 400.00 mV	 0 V	 1.1500 V	 14.9320 mA	 1.493200000 mA/um
349	 400.00 mV	 0 V	 1.2000 V	 15.0350 mA	 1.503500000 mA/um
350	 400.00 mV	 0 V	 1.2500 V	 15.1420 mA	 1.514200000 mA/um
351	 400.00 mV	 0 V	 1.3000 V	 15.2380 mA	 1.523800000 mA/um
352	 400.00 mV	 0 V	 1.3500 V	 15.3460 mA	 1.534600000 mA/um
353	 400.00 mV	 0 V	 1.4000 V	 15.4570 mA	 1.545700000 mA/um
354	 400.00 mV	 0 V	 1.4500 V	 15.5610 mA	 1.556100000 mA/um
355	 400.00 mV	 0 V	 1.5000 V	 15.6630 mA	 1.566300000 mA/um
356	 400.00 mV	 0 V	 1.5500 V	 15.7620 mA	 1.576200000 mA/um
357	 400.00 mV	 0 V	 1.6000 V	 15.8510 mA	 1.585100000 mA/um
358	 400.00 mV	 0 V	 1.6500 V	 15.9050 mA	 1.590500000 mA/um
359	 400.00 mV	 0 V	 1.7000 V	 16.0330 mA	 1.603300000 mA/um
360	 400.00 mV	 0 V	 1.7500 V	 16.1330 mA	 1.613300000 mA/um
361	 400.00 mV	 0 V	 1.8000 V	 16.2300 mA	 1.623000000 mA/um
362	 400.00 mV	 0 V	 1.8500 V	 16.3250 mA	 1.632500000 mA/um
363	 400.00 mV	 0 V	 1.9000 V	 16.4170 mA	 1.641700000 mA/um
364	 400.00 mV	 0 V	 1.9500 V	 16.5100 mA	 1.651000000 mA/um
365	 400.00 mV	 0 V	 2.0000 V	 16.5920 mA	 1.659200000 mA/um
366	 400.00 mV	 0 V	 2.0500 V	 16.6730 mA	 1.667300000 mA/um
367	 400.00 mV	 0 V	 2.1000 V	 16.7760 mA	 1.677600000 mA/um
368	 400.00 mV	 0 V	 2.1500 V	 16.8800 mA	 1.688000000 mA/um
369	 400.00 mV	 0 V	 2.2000 V	 16.9800 mA	 1.698000000 mA/um
370	 400.00 mV	 0 V	 2.2500 V	 17.0850 mA	 1.708500000 mA/um
371	 400.00 mV	 0 V	 2.3000 V	 17.1910 mA	 1.719100000 mA/um
372	 400.00 mV	 0 V	 2.3500 V	 17.2990 mA	 1.729900000 mA/um
373	 400.00 mV	 0 V	 2.4000 V	 17.4170 mA	 1.741700000 mA/um
374	 400.00 mV	 0 V	 2.4500 V	 17.5360 mA	 1.753600000 mA/um
375	 400.00 mV	 0 V	 2.5000 V	 17.6570 mA	 1.765700000 mA/um
376	 400.00 mV	 0 V	 2.5500 V	 17.7890 mA	 1.778900000 mA/um
377	 400.00 mV	 0 V	 2.6000 V	 17.9430 mA	 1.794300000 mA/um
378	 400.00 mV	 0 V	 2.6500 V	 18.0950 mA	 1.809500000 mA/um
379	 400.00 mV	 0 V	 2.7000 V	 18.2530 mA	 1.825300000 mA/um
380	 400.00 mV	 0 V	 2.7500 V	 18.4120 mA	 1.841200000 mA/um
381	 400.00 mV	 0 V	 2.8000 V	 18.5730 mA	 1.857300000 mA/um
382	 400.00 mV	 0 V	 2.8500 V	 18.7500 mA	 1.875000000 mA/um
383	 400.00 mV	 0 V	 2.9000 V	 18.9260 mA	 1.892600000 mA/um
384	 400.00 mV	 0 V	 2.9500 V	 19.0980 mA	 1.909800000 mA/um
385	 400.00 mV	 0 V	 3.0000 V	 19.2720 mA	 1.927200000 mA/um
386	 400.00 mV	 0 V	 3.0500 V	 19.4460 mA	 1.944600000 mA/um
387	 400.00 mV	 0 V	 3.1000 V	 19.6180 mA	 1.961800000 mA/um
388	 400.00 mV	 0 V	 3.1500 V	 19.7990 mA	 1.979900000 mA/um
389	 400.00 mV	 0 V	 3.2000 V	 19.9810 mA	 1.998100000 mA/um
390	 400.00 mV	 0 V	 3.2500 V	 20.1600 mA	 2.016000000 mA/um
391	 400.00 mV	 0 V	 3.3000 V	 20.3440 mA	 2.034400000 mA/um
392	 400.00 mV	 0 V	 3.3500 V	 20.5290 mA	 2.052900000 mA/um
393	 400.00 mV	 0 V	 3.4000 V	 20.7200 mA	 2.072000000 mA/um
394	 400.00 mV	 0 V	 3.4500 V	 20.9090 mA	 2.090900000 mA/um
395	 400.00 mV	 0 V	 3.5000 V	 21.1020 mA	 2.110200000 mA/um
396	 400.00 mV	 0 V	 3.5500 V	 21.3020 mA	 2.130200000 mA/um
397	 400.00 mV	 0 V	 3.6000 V	 21.5020 mA	 2.150200000 mA/um
398	 400.00 mV	 0 V	 3.6500 V	 21.7050 mA	 2.170500000 mA/um
399	 400.00 mV	 0 V	 3.7000 V	 21.9090 mA	 2.190900000 mA/um
400	 400.00 mV	 0 V	 3.7500 V	 22.1220 mA	 2.212200000 mA/um
401	 400.00 mV	 0 V	 3.8000 V	 22.3330 mA	 2.233300000 mA/um
402	 400.00 mV	 0 V	 3.8500 V	 22.5530 mA	 2.255300000 mA/um
403	 400.00 mV	 0 V	 3.9000 V	 22.7700 mA	 2.277000000 mA/um
404	 400.00 mV	 0 V	 3.9500 V	 22.9940 mA	 2.299400000 mA/um
405	 400.00 mV	 0 V	 4.0000 V	 23.2190 mA	 2.321900000 mA/um
406	 500.0 mV	 0 V	 0 V	 5.50540 uA	 550.5400000 nA/um
407	 500.0 mV	 0 V	 50.0 mV	 7.57430 mA	 757.4300000 uA/um
408	 500.0 mV	 0 V	 100.0 mV	 14.6480 mA	 1.464800000 mA/um
409	 500.0 mV	 0 V	 150.0 mV	 21.1490 mA	 2.114900000 mA/um
410	 500.0 mV	 0 V	 200.0 mV	 26.8470 mA	 2.684700000 mA/um
411	 500.0 mV	 0 V	 250.0 mV	 31.5010 mA	 3.150100000 mA/um
412	 500.0 mV	 0 V	 300.0 mV	 34.9890 mA	 3.498900000 mA/um
413	 500.0 mV	 0 V	 350.0 mV	 37.3260 mA	 3.732600000 mA/um
414	 500.0 mV	 0 V	 400.0 mV	 38.7860 mA	 3.878600000 mA/um
415	 500.0 mV	 0 V	 450.0 mV	 39.7210 mA	 3.972100000 mA/um
416	 500.0 mV	 0 V	 500.0 mV	 40.3690 mA	 4.036900000 mA/um
417	 500.0 mV	 0 V	 550.0 mV	 40.8610 mA	 4.086100000 mA/um
418	 500.0 mV	 0 V	 600.0 mV	 41.2660 mA	 4.126600000 mA/um
419	 500.0 mV	 0 V	 650.0 mV	 41.6170 mA	 4.161700000 mA/um
420	 500.0 mV	 0 V	 700.0 mV	 41.9390 mA	 4.193900000 mA/um
421	 500.0 mV	 0 V	 750.0 mV	 42.2380 mA	 4.223800000 mA/um
422	 500.0 mV	 0 V	 800.0 mV	 42.5180 mA	 4.251800000 mA/um
423	 500.0 mV	 0 V	 850.0 mV	 42.7810 mA	 4.278100000 mA/um
424	 500.0 mV	 0 V	 900.0 mV	 43.0010 mA	 4.300100000 mA/um
425	 500.0 mV	 0 V	 950.0 mV	 43.2490 mA	 4.324900000 mA/um
426	 500.0 mV	 0 V	 1.0000 V	 43.4770 mA	 4.347700000 mA/um
427	 500.0 mV	 0 V	 1.0500 V	 43.6950 mA	 4.369500000 mA/um
428	 500.0 mV	 0 V	 1.1000 V	 43.9040 mA	 4.390400000 mA/um
429	 500.0 mV	 0 V	 1.1500 V	 44.1010 mA	 4.410100000 mA/um
430	 500.0 mV	 0 V	 1.2000 V	 44.2600 mA	 4.426000000 mA/um
431	 500.0 mV	 0 V	 1.2500 V	 44.4390 mA	 4.443900000 mA/um
432	 500.0 mV	 0 V	 1.3000 V	 44.6410 mA	 4.464100000 mA/um
433	 500.0 mV	 0 V	 1.3500 V	 44.8290 mA	 4.482900000 mA/um
434	 500.0 mV	 0 V	 1.4000 V	 45.0050 mA	 4.500500000 mA/um
435	 500.0 mV	 0 V	 1.4500 V	 45.1790 mA	 4.517900000 mA/um
436	 500.0 mV	 0 V	 1.5000 V	 45.3620 mA	 4.536200000 mA/um
437	 500.0 mV	 0 V	 1.5500 V	 45.5170 mA	 4.551700000 mA/um
438	 500.0 mV	 0 V	 1.6000 V	 45.6800 mA	 4.568000000 mA/um
439	 500.0 mV	 0 V	 1.6500 V	 45.8600 mA	 4.586000000 mA/um
440	 500.0 mV	 0 V	 1.7000 V	 46.0220 mA	 4.602200000 mA/um
441	 500.0 mV	 0 V	 1.7500 V	 46.1070 mA	 4.610700000 mA/um
442	 500.0 mV	 0 V	 1.8000 V	 46.3140 mA	 4.631400000 mA/um
443	 500.0 mV	 0 V	 1.8500 V	 46.4850 mA	 4.648500000 mA/um
444	 500.0 mV	 0 V	 1.9000 V	 46.6480 mA	 4.664800000 mA/um
445	 500.0 mV	 0 V	 1.9500 V	 46.8110 mA	 4.681100000 mA/um
446	 500.0 mV	 0 V	 2.0000 V	 46.9740 mA	 4.697400000 mA/um
447	 500.0 mV	 0 V	 2.0500 V	 47.1330 mA	 4.713300000 mA/um
448	 500.0 mV	 0 V	 2.1000 V	 47.2910 mA	 4.729100000 mA/um
449	 500.0 mV	 0 V	 2.1500 V	 47.4530 mA	 4.745300000 mA/um
450	 500.0 mV	 0 V	 2.2000 V	 47.6200 mA	 4.762000000 mA/um
451	 500.0 mV	 0 V	 2.2500 V	 47.7930 mA	 4.779300000 mA/um
452	 500.0 mV	 0 V	 2.3000 V	 47.9760 mA	 4.797600000 mA/um
453	 500.0 mV	 0 V	 2.3500 V	 48.1650 mA	 4.816500000 mA/um
454	 500.0 mV	 0 V	 2.4000 V	 48.3650 mA	 4.836500000 mA/um
455	 500.0 mV	 0 V	 2.4500 V	 48.5850 mA	 4.858500000 mA/um
456	 500.0 mV	 0 V	 2.5000 V	 48.8120 mA	 4.881200000 mA/um
457	 500.0 mV	 0 V	 2.5500 V	 49.0430 mA	 4.904300000 mA/um
458	 500.0 mV	 0 V	 2.6000 V	 49.3200 mA	 4.932000000 mA/um
459	 500.0 mV	 0 V	 2.6500 V	 49.5880 mA	 4.958800000 mA/um
460	 500.0 mV	 0 V	 2.7000 V	 49.8650 mA	 4.986500000 mA/um
461	 500.0 mV	 0 V	 2.7500 V	 50.1470 mA	 5.014700000 mA/um
462	 500.0 mV	 0 V	 2.8000 V	 50.4360 mA	 5.043600000 mA/um
463	 500.0 mV	 0 V	 2.8500 V	 50.7140 mA	 5.071400000 mA/um
464	 500.0 mV	 0 V	 2.9000 V	 50.9950 mA	 5.099500000 mA/um
465	 500.0 mV	 0 V	 2.9500 V	 51.2740 mA	 5.127400000 mA/um
466	 500.0 mV	 0 V	 3.0000 V	 51.5520 mA	 5.155200000 mA/um
467	 500.0 mV	 0 V	 3.0500 V	 51.8240 mA	 5.182400000 mA/um
468	 500.0 mV	 0 V	 3.1000 V	 52.0940 mA	 5.209400000 mA/um
469	 500.0 mV	 0 V	 3.1500 V	 52.3610 mA	 5.236100000 mA/um
470	 500.0 mV	 0 V	 3.2000 V	 52.6270 mA	 5.262700000 mA/um
471	 500.0 mV	 0 V	 3.2500 V	 52.8920 mA	 5.289200000 mA/um
472	 500.0 mV	 0 V	 3.3000 V	 53.1600 mA	 5.316000000 mA/um
473	 500.0 mV	 0 V	 3.3500 V	 53.4250 mA	 5.342500000 mA/um
474	 500.0 mV	 0 V	 3.4000 V	 53.6930 mA	 5.369300000 mA/um
475	 500.0 mV	 0 V	 3.4500 V	 53.9670 mA	 5.396700000 mA/um
476	 500.0 mV	 0 V	 3.5000 V	 54.2360 mA	 5.423600000 mA/um
477	 500.0 mV	 0 V	 3.5500 V	 54.5110 mA	 5.451100000 mA/um
478	 500.0 mV	 0 V	 3.6000 V	 54.7940 mA	 5.479400000 mA/um
479	 500.0 mV	 0 V	 3.6500 V	 55.0720 mA	 5.507200000 mA/um
480	 500.0 mV	 0 V	 3.7000 V	 55.3520 mA	 5.535200000 mA/um
481	 500.0 mV	 0 V	 3.7500 V	 55.6400 mA	 5.564000000 mA/um
482	 500.0 mV	 0 V	 3.8000 V	 55.9290 mA	 5.592900000 mA/um
483	 500.0 mV	 0 V	 3.8500 V	 56.2170 mA	 5.621700000 mA/um
484	 500.0 mV	 0 V	 3.9000 V	 56.5130 mA	 5.651300000 mA/um
485	 500.0 mV	 0 V	 3.9500 V	 56.8070 mA	 5.680700000 mA/um
486	 500.0 mV	 0 V	 4.0000 V	 57.1080 mA	 5.710800000 mA/um
487	 600.0 mV	 0 V	 0 V	 3.24360 uA	 324.3600000 nA/um
488	 600.0 mV	 0 V	 50.0 mV	 8.67530 mA	 867.5300000 uA/um
489	 600.0 mV	 0 V	 100.0 mV	 17.1470 mA	 1.714700000 mA/um
490	 600.0 mV	 0 V	 150.0 mV	 25.4480 mA	 2.544800000 mA/um
491	 600.0 mV	 0 V	 200.0 mV	 33.5110 mA	 3.351100000 mA/um
492	 600.0 mV	 0 V	 250.0 mV	 41.2210 mA	 4.122100000 mA/um
493	 600.0 mV	 0 V	 300.0 mV	 48.5560 mA	 4.855600000 mA/um
494	 600.0 mV	 0 V	 350.0 mV	 55.3780 mA	 5.537800000 mA/um
495	 600.0 mV	 0 V	 400.0 mV	 61.5190 mA	 6.151900000 mA/um
496	 600.0 mV	 0 V	 450.0 mV	 66.8740 mA	 6.687400000 mA/um
497	 600.0 mV	 0 V	 500.0 mV	 71.2760 mA	 7.127600000 mA/um
498	 600.0 mV	 0 V	 550.0 mV	 74.6670 mA	 7.466700000 mA/um
499	 600.0 mV	 0 V	 600.0 mV	 77.0870 mA	 7.708700000 mA/um
500	 600.0 mV	 0 V	 650.0 mV	 78.6900 mA	 7.869000000 mA/um
501	 600.0 mV	 0 V	 700.0 mV	 79.7890 mA	 7.978900000 mA/um
502	 600.0 mV	 0 V	 750.0 mV	 80.5360 mA	 8.053600000 mA/um
503	 600.0 mV	 0 V	 800.0 mV	 81.0060 mA	 8.100600000 mA/um
504	 600.0 mV	 0 V	 850.0 mV	 81.5080 mA	 8.150800000 mA/um
505	 600.0 mV	 0 V	 900.0 mV	 81.9230 mA	 8.192300000 mA/um
506	 600.0 mV	 0 V	 950.0 mV	 82.2960 mA	 8.229600000 mA/um
507	 600.0 mV	 0 V	 1.0000 V	 82.5950 mA	 8.259500000 mA/um
508	 600.0 mV	 0 V	 1.0500 V	 82.9330 mA	 8.293300000 mA/um
509	 600.0 mV	 0 V	 1.1000 V	 83.2280 mA	 8.322800000 mA/um
510	 600.0 mV	 0 V	 1.1500 V	 83.4680 mA	 8.346800000 mA/um
511	 600.0 mV	 0 V	 1.2000 V	 83.7440 mA	 8.374400000 mA/um
512	 600.0 mV	 0 V	 1.2500 V	 83.9980 mA	 8.399800000 mA/um
513	 600.0 mV	 0 V	 1.3000 V	 84.2310 mA	 8.423100000 mA/um
514	 600.0 mV	 0 V	 1.3500 V	 84.4540 mA	 8.445400000 mA/um
515	 600.0 mV	 0 V	 1.4000 V	 84.6740 mA	 8.467400000 mA/um
516	 600.0 mV	 0 V	 1.4500 V	 84.8850 mA	 8.488500000 mA/um
517	 600.0 mV	 0 V	 1.5000 V	 85.0920 mA	 8.509200000 mA/um
518	 600.0 mV	 0 V	 1.5500 V	 85.2930 mA	 8.529300000 mA/um
519	 600.0 mV	 0 V	 1.6000 V	 85.4940 mA	 8.549400000 mA/um
520	 600.0 mV	 0 V	 1.6500 V	 85.6900 mA	 8.569000000 mA/um
521	 600.0 mV	 0 V	 1.7000 V	 85.8440 mA	 8.584400000 mA/um
522	 600.0 mV	 0 V	 1.7500 V	 86.0300 mA	 8.603000000 mA/um
523	 600.0 mV	 0 V	 1.8000 V	 86.2480 mA	 8.624800000 mA/um
524	 600.0 mV	 0 V	 1.8500 V	 86.4480 mA	 8.644800000 mA/um
525	 600.0 mV	 0 V	 1.9000 V	 86.6360 mA	 8.663600000 mA/um
526	 600.0 mV	 0 V	 1.9500 V	 86.8260 mA	 8.682600000 mA/um
527	 600.0 mV	 0 V	 2.0000 V	 87.0140 mA	 8.701400000 mA/um
528	 600.0 mV	 0 V	 2.0500 V	 87.1980 mA	 8.719800000 mA/um
529	 600.0 mV	 0 V	 2.1000 V	 87.3800 mA	 8.738000000 mA/um
530	 600.0 mV	 0 V	 2.1500 V	 87.5540 mA	 8.755400000 mA/um
531	 600.0 mV	 0 V	 2.2000 V	 87.7490 mA	 8.774900000 mA/um
532	 600.0 mV	 0 V	 2.2500 V	 87.9630 mA	 8.796300000 mA/um
533	 600.0 mV	 0 V	 2.3000 V	 88.1680 mA	 8.816800000 mA/um
534	 600.0 mV	 0 V	 2.3500 V	 88.3860 mA	 8.838600000 mA/um
535	 600.0 mV	 0 V	 2.4000 V	 88.6220 mA	 8.862200000 mA/um
536	 600.0 mV	 0 V	 2.4500 V	 88.8680 mA	 8.886800000 mA/um
537	 600.0 mV	 0 V	 2.5000 V	 89.1280 mA	 8.912800000 mA/um
538	 600.0 mV	 0 V	 2.5500 V	 89.4120 mA	 8.941200000 mA/um
539	 600.0 mV	 0 V	 2.6000 V	 89.7130 mA	 8.971300000 mA/um
540	 600.0 mV	 0 V	 2.6500 V	 90.0280 mA	 9.002800000 mA/um
541	 600.0 mV	 0 V	 2.7000 V	 90.3500 mA	 9.035000000 mA/um
542	 600.0 mV	 0 V	 2.7500 V	 90.6800 mA	 9.068000000 mA/um
543	 600.0 mV	 0 V	 2.8000 V	 91.0140 mA	 9.101400000 mA/um
544	 600.0 mV	 0 V	 2.8500 V	 91.3410 mA	 9.134100000 mA/um
545	 600.0 mV	 0 V	 2.9000 V	 91.6620 mA	 9.166200000 mA/um
546	 600.0 mV	 0 V	 2.9500 V	 91.9780 mA	 9.197800000 mA/um
547	 600.0 mV	 0 V	 3.0000 V	 92.2880 mA	 9.228800000 mA/um
548	 600.0 mV	 0 V	 3.0500 V	 92.5880 mA	 9.258800000 mA/um
549	 600.0 mV	 0 V	 3.1000 V	 92.8780 mA	 9.287800000 mA/um
550	 600.0 mV	 0 V	 3.1500 V	 93.1690 mA	 9.316900000 mA/um
551	 600.0 mV	 0 V	 3.2000 V	 93.4490 mA	 9.344900000 mA/um
552	 600.0 mV	 0 V	 3.2500 V	 93.7250 mA	 9.372500000 mA/um
553	 600.0 mV	 0 V	 3.3000 V	 94.0060 mA	 9.400600000 mA/um
554	 600.0 mV	 0 V	 3.3500 V	 94.2810 mA	 9.428100000 mA/um
555	 600.0 mV	 0 V	 3.4000 V	 94.5540 mA	 9.455400000 mA/um
556	 600.0 mV	 0 V	 3.4500 V	 94.8210 mA	 9.482100000 mA/um
557	 600.0 mV	 0 V	 3.5000 V	 95.0900 mA	 9.509000000 mA/um
558	 600.0 mV	 0 V	 3.5500 V	 95.3640 mA	 9.536400000 mA/um
559	 600.0 mV	 0 V	 3.6000 V	 95.6340 mA	 9.563400000 mA/um
560	 600.0 mV	 0 V	 3.6500 V	 95.9070 mA	 9.590700000 mA/um
561	 600.0 mV	 0 V	 3.7000 V	 96.1800 mA	 9.618000000 mA/um
562	 600.0 mV	 0 V	 3.7500 V	 96.4490 mA	 9.644900000 mA/um
563	 600.0 mV	 0 V	 3.8000 V	 96.7250 mA	 9.672500000 mA/um
564	 600.0 mV	 0 V	 3.8500 V	 97.0010 mA	 9.700100000 mA/um
565	 600.0 mV	 0 V	 3.9000 V	 97.2740 mA	 9.727400000 mA/um
566	 600.0 mV	 0 V	 3.9500 V	 97.5540 mA	 9.755400000 mA/um
567	 600.0 mV	 0 V	 4.0000 V	 97.8380 mA	 9.783800000 mA/um
568	 700.0 mV	 0 V	 0 V	 -11.71440 uA	 -1.171440000 uA/um
569	 700.0 mV	 0 V	 50.0 mV	 9.18730 mA	 918.7300000 uA/um
570	 700.0 mV	 0 V	 100.0 mV	 18.2830 mA	 1.828300000 mA/um
571	 700.0 mV	 0 V	 150.0 mV	 27.3140 mA	 2.731400000 mA/um
572	 700.0 mV	 0 V	 200.0 mV	 36.2500 mA	 3.625000000 mA/um
573	 700.0 mV	 0 V	 250.0 mV	 45.0150 mA	 4.501500000 mA/um
574	 700.0 mV	 0 V	 300.0 mV	 53.6610 mA	 5.366100000 mA/um
575	 700.0 mV	 0 V	 350.0 mV	 62.1190 mA	 6.211900000 mA/um
576	 700.0 mV	 0 V	 400.0 mV	 70.3130 mA	 7.031300000 mA/um
577	 700.0 mV	 0 V	 450.0 mV	 78.2730 mA	 7.827300000 mA/um
578	 700.0 mV	 0 V	 500.0 mV	 85.8720 mA	 8.587200000 mA/um
579	 700.0 mV	 0 V	 550.0 mV	 93.0910 mA	 9.309100000 mA/um
580	 700.0 mV	 0 V	 600.0 mV	 99.8150 mA	 9.981500000 mA/um
581	 700.0 mV	 0 V	 650.0 mV	C 100.0050 mA	 10.00050000 mA/um
582	 700.0 mV	 0 V	 700.0 mV	C 100.0050 mA	 10.00050000 mA/um
583	 700.0 mV	 0 V	 750.0 mV	C 100.0030 mA	 10.00030000 mA/um
584	 700.0 mV	 0 V	 800.0 mV	C 100.0030 mA	 10.00030000 mA/um
585	 700.0 mV	 0 V	 850.0 mV	C 100.0040 mA	 10.00040000 mA/um
586	 700.0 mV	 0 V	 900.0 mV	C 100.0050 mA	 10.00050000 mA/um
587	 700.0 mV	 0 V	 950.0 mV	C 100.0030 mA	 10.00030000 mA/um
588	 700.0 mV	 0 V	 1.0000 V	C 100.0030 mA	 10.00030000 mA/um
589	 700.0 mV	 0 V	 1.0500 V	C 100.0030 mA	 10.00030000 mA/um
590	 700.0 mV	 0 V	 1.1000 V	C 100.0040 mA	 10.00040000 mA/um
591	 700.0 mV	 0 V	 1.1500 V	C 100.0050 mA	 10.00050000 mA/um
592	 700.0 mV	 0 V	 1.2000 V	C 100.0030 mA	 10.00030000 mA/um
593	 700.0 mV	 0 V	 1.2500 V	C 100.0070 mA	 10.00070000 mA/um
594	 700.0 mV	 0 V	 1.3000 V	C 100.0040 mA	 10.00040000 mA/um
595	 700.0 mV	 0 V	 1.3500 V	C 100.0010 mA	 10.00010000 mA/um
596	 700.0 mV	 0 V	 1.4000 V	C 100.0040 mA	 10.00040000 mA/um
597	 700.0 mV	 0 V	 1.4500 V	C 100.0050 mA	 10.00050000 mA/um
598	 700.0 mV	 0 V	 1.5000 V	C 100.0050 mA	 10.00050000 mA/um
599	 700.0 mV	 0 V	 1.5500 V	C 100.0050 mA	 10.00050000 mA/um
600	 700.0 mV	 0 V	 1.6000 V	C 100.0050 mA	 10.00050000 mA/um
601	 700.0 mV	 0 V	 1.6500 V	C 100.0050 mA	 10.00050000 mA/um
602	 700.0 mV	 0 V	 1.7000 V	C 100.0040 mA	 10.00040000 mA/um
603	 700.0 mV	 0 V	 1.7500 V	C 100.0050 mA	 10.00050000 mA/um
604	 700.0 mV	 0 V	 1.8000 V	C 100.0040 mA	 10.00040000 mA/um
605	 700.0 mV	 0 V	 1.8500 V	C 100.0050 mA	 10.00050000 mA/um
606	 700.0 mV	 0 V	 1.9000 V	C 100.0040 mA	 10.00040000 mA/um
607	 700.0 mV	 0 V	 1.9500 V	C 100.0050 mA	 10.00050000 mA/um
608	 700.0 mV	 0 V	 2.0000 V	C 100.0040 mA	 10.00040000 mA/um
609	 700.0 mV	 0 V	 2.0500 V	C 100.0030 mA	 10.00030000 mA/um
610	 700.0 mV	 0 V	 2.1000 V	C 100.0060 mA	 10.00060000 mA/um
611	 700.0 mV	 0 V	 2.1500 V	C 100.0030 mA	 10.00030000 mA/um
612	 700.0 mV	 0 V	 2.2000 V	C 100.0040 mA	 10.00040000 mA/um
613	 700.0 mV	 0 V	 2.2500 V	C 100.0050 mA	 10.00050000 mA/um
614	 700.0 mV	 0 V	 2.3000 V	C 100.0050 mA	 10.00050000 mA/um
615	 700.0 mV	 0 V	 2.3500 V	C 100.0050 mA	 10.00050000 mA/um
616	 700.0 mV	 0 V	 2.4000 V	C 100.0040 mA	 10.00040000 mA/um
617	 700.0 mV	 0 V	 2.4500 V	C 100.0050 mA	 10.00050000 mA/um
618	 700.0 mV	 0 V	 2.5000 V	C 100.0050 mA	 10.00050000 mA/um
619	 700.0 mV	 0 V	 2.5500 V	C 100.0030 mA	 10.00030000 mA/um
620	 700.0 mV	 0 V	 2.6000 V	C 100.0050 mA	 10.00050000 mA/um
621	 700.0 mV	 0 V	 2.6500 V	C 100.0040 mA	 10.00040000 mA/um
622	 700.0 mV	 0 V	 2.7000 V	C 100.0050 mA	 10.00050000 mA/um
623	 700.0 mV	 0 V	 2.7500 V	C 100.0050 mA	 10.00050000 mA/um
624	 700.0 mV	 0 V	 2.8000 V	C 100.0050 mA	 10.00050000 mA/um
625	 700.0 mV	 0 V	 2.8500 V	C 100.0040 mA	 10.00040000 mA/um
626	 700.0 mV	 0 V	 2.9000 V	C 100.0040 mA	 10.00040000 mA/um
627	 700.0 mV	 0 V	 2.9500 V	C 100.0040 mA	 10.00040000 mA/um
628	 700.0 mV	 0 V	 3.0000 V	C 100.0050 mA	 10.00050000 mA/um
629	 700.0 mV	 0 V	 3.0500 V	C 100.0040 mA	 10.00040000 mA/um
630	 700.0 mV	 0 V	 3.1000 V	C 100.0040 mA	 10.00040000 mA/um
631	 700.0 mV	 0 V	 3.1500 V	C 100.0030 mA	 10.00030000 mA/um
632	 700.0 mV	 0 V	 3.2000 V	C 100.0050 mA	 10.00050000 mA/um
633	 700.0 mV	 0 V	 3.2500 V	C 100.0040 mA	 10.00040000 mA/um
634	 700.0 mV	 0 V	 3.3000 V	C 100.0040 mA	 10.00040000 mA/um
635	 700.0 mV	 0 V	 3.3500 V	C 100.0030 mA	 10.00030000 mA/um
636	 700.0 mV	 0 V	 3.4000 V	C 100.0050 mA	 10.00050000 mA/um
637	 700.0 mV	 0 V	 3.4500 V	C 100.0050 mA	 10.00050000 mA/um
